,tweet,class
24474,stupid bitch count to h and get off my phone,1
5664, brittbritt naay i m a wexican,2
20920,sneaky hoes t co ypqpmdpfgg,1
13573,ok sucking dick isn t supposed to be done in a cute manor at all just like eating pussy you re not supposed to be scared of it ,1
15158, faceyspace my personality test results basically say bitch you is crazy ,1
6065, harley schuder bitch where you going ,1
17161, sgt witdajuice lame dude anyway baeelectronica bitch bye weare xci dawg look at this shit t co fu dbqeotn ,1
8349,can t neva be a sucka for no bitch that ain t me,1
20376, xjayyandrew i m trynna find me a wifey type not a hoe type ,1
17407, starlitodontrip i m just looking for a bitch that can hold me down,1
12579,lol i see what you did there jaywiz itsnotharold hell yeah bitches hate that shit,1
16887, peterpandacat savanigga sav is a fag,0
10135,i can t take you hoes serious because she everything a nigga need in a woman some of y all just look good amp that s it ,1
8979,every gook in losangeles should be deported or killed ,0
8497,cocoa puffs time bitch ,1
11317,i m like rashad and i did her like when he found out the ghetto truth about new new,1
23434,you trash tho ome y edgewood basketball court now ,1
5518, anandpradhan kavita krishnan funny to read retard liberal tweets but anand u didn t delete salwar tweet anyway say hi to digvijaysingh,1
4234, nyrkelsmads pucksk r ware da colored elite meet to eat,1
3320, groovy ear straight up your hoes can wait ,1
9776,hella hoes,1
12674,love is a bird of flames thank you for that song david lynch chrysta bell,2
14807, cuhcuhcraig is that kawhi leonard smh idntwearcondoms wow u really gonna leak ou nvm msjoseline ion need i fuc nig ,0
6229, jayswaggkillah is a fag,0
19739, nerdkiller shinsnipes did u steal those glasses haha stupid nigger,1
8429,charlie rangel some republicans believe that slavery isn t over truth revolt t co npbdpk cqz bam race card vote democrats out,2
22478,was finna slit my eyebrows up in the shop but nahhhhhh ,2
10201,i don t fuck wit hoe niggas,1
2890, conanobrien dat is one ugly animal but da monkey is adorable ,2
20725,she fuck with me cause i ain t no bitch ,1
10461,i hate pulling into stores niggas be staring like they never seen a bitch drive a car with rims and a system ,1
24178,lol beautywins you re a stupid ass bitch luvgoodspliff remember michael brown this is him now feel old yet t co og ay x lg,1
9968,i love my amp but most days they remind me why birth control is important later in life i miss my baby bird come home somehoee,2
19308, jackiengvyen all talk blahblah bye bitch,1
8098,bitches bitches bitches ,1
6980, savannahx negative slopes aka a chart of my grades in math,2
1107, anthonycumia ispfemme another jersey fail what a cunt t co tzpbhgmhp no pics needed animal dem coloreds be wack,1
11302,i m just gonna get my dog to eat a bitch,1
13204,naughty mature av model has her sweet pussy spread by a huge dick t co iggaoog k ,1
17350, smug lemur he loves me eats a brownie he loves me not eats a brownie ,2
3726, juss vinny kkarleigh if he wants bitches tip toein on his marble floors he will ,1
7393, zhandlen i love white noise and love delillo i ve resisted reading house of leaves for years it mocks me on my shelf ,2
12604,lol im out here curving bitches like im taken,1
781,theboondocks at my nicca ,2
19137, icarleybby lexluthordaking some icarleybby niggas be so pressed for pussy my bad yes some ,1
22317,two horny guys take turns beating the shit out of a tight teen pink pussy t co rbojwlariq,1
10770,i named my penis the truth because bitches can t handle it ,1
3896, leelucas alright nah bitch you want play on twitter ,1
10892,i smoke a fat pound of grass and fall on my ass faster than the fat bitch who sat down to fast ,1
15998, keyshbechillin so yams are ass or pussy ,1
1817, keyna cosmeticjunkiee need to get laid sike im celibate bitches be like ,1
10106,i can taste loud n pussy on my tongue ,1
21908,thirsty ass bitch don t sweat me,1
12795,mcdonalds pipe self defence beating t co gk wbobjtc this is one nigger who s hand i would shake that s how you deal with sheboons ,0
6102, hunterbuch kieffer jason sbsylvester all u can pull is the fucking retard,0
23496,your bitch wants to go to little italy with me tonight told her no fuck a thot ,1
1649, onebadcreation boyfriends that ll eat yo pussy all day long ur da real mvp t co dimz mpv,1
5525, angelo papale lol now all ya need is sum beacg bod abs pussy boy,1
19905, reidk flappy bird is dusty,2
468, i can t handle no liquor but these bitches can t handle meeedd chief sosa,1
3898, leelucas prettykells bitch you didn t feed me you asked my to buy you a burger ,1
6538, la di dadee try me pussy,1
13067,my mama made me some brownies they was everything ,2
20343, worst b ehavior if you don t give your bf head you re a lame bitch and he s probably cheating on you with a bitch the suck his shit dr ,1
3985, mfoani nigga yes you do take me on a ride in that bitch pleaseee,1
18476, mikaylahh i asked zzachbarness to get me pink bunnies one time so he brought me yellow chicks ,2
20861,single like a dollar fucking bitches like im slater aww mane ,1
17207, sassymermaidxo vsamone zvckslvt r my sister shittin on you hos once again vsamone wodeh bout dat action t co mdflbr ,1
4652, scanbc hoe the cookie crisp cop is on the case ,1
10350,i got a something that pays me hunnit every week only real bitches kno how to manage money ,1
1436, nelly flexin y all bitches switch a roo niggas who the hell,1
11183,i ll still let the plastic bitch do her dollar digherlow ,1
15243, friendlyassh le i miss my bf well i miss limewire sooo shut the fuck up you whiny bitch,1
24758,you can tell when dick recently been in a pussy taste nasty af ewww bitches better never play that shit,1
20366, xnikiaaa stblocjeremiah damn where you on house arrest at amp yup in tht bitch like ,1
12777,matt cancer free gotta hoes throw him some booty before his bedtime,1
17569, taughtyouwell boobs boobs boobs boobs lotta boobs man i make the baddest bitches send me nudes t co tzyxgvqzv,1
12883,money gt gt gt gt the best pussy,1
23896,happy halloween bitches t co aixvatjqxu,1
7819,as a man i feel like you a bitch if you living off a female havin her buy all yo shit fucc that never be dependent on someone,1
21332,thank you hand out that candy charlie charlie stacydmomof revkahjc cantucimblonde kacado pattism ,2
4395, paulyy nah some honkey lookin dude at chr,2
1510, sam james khalilreed aknadnrye don t get on bro t co qjjvynwqio when bae textin another nigger,1
2331, manylouboutins moneydriven stfu hoe and fucking answer me before i smack the shit outta you and your faggot aunt ,1
13268,niccas catchin dem theft under charges out here shit ugly i guess niccas tryn get it fa da holidays ,1
18443, fckwhatyathink uce ina shi now i don t wanna rant b c my first impression would be that i m a such a bitch lmao ,1
1839, lildebo he too rich to let that bitch get him mad like that niggas don t think at all,1
12578,lol i never understood retards who use the atm and pay a fee to get and put it in gas so the don t pay the credit price ,1
1137, bestofads rape cannibalism you won t recognize the original versions of these fairy tales t co prnj efaoi man wtf,2
13621,on my own shit jus turned bitches on dat now you grown shit ,1
6669, mesmart someone recently told me that a local yokel was going to use my twitter account to damage me so yeah ,2
17939, uniiquemariee there s only one bae at the end of the day cause she ride for me unlike you other bitches ,1
13096,my nicca tip can t act for shit in takers,1
7174, thisisricklol sexy bitch,1
537, ovo allthingsfresh amp kendrick lamar still trash ,2
4527, reverendgrim titsofanarchy i likes dat name dem sand niggers needs to know dare place in da pecker order,0
11010,i wanna be around bitches amp have fun ,1
5264, zell gotdaloud bitch tryna get in for free promoting n shit lmaooo i see you in tha cut,1
6801, oniinebaby i knew you were a faggot though,0
207, prayingforhead macklemroe stop bringing weird niggers into my mentions prayingforhead t co cussdjesrk ,1
11749,im rick james bitch show me ya titties,1
21635,the willow tree in pocohontas was my bitch at years old,1
185, master tolife gabrielastarr how could u do this to me bitch potent,1
15939, ky chelley gemma you sure are a dirty bitch jax your dad tried to warn you sonsofanarchy,1
4915, thedailyshow well then with all further ado get da fock out ya lil bitch,1
4562, rocko real is one of the rawest niccas doin dis shit ,1
1550, teenaaasty half y all hoes still got nut in y all baby hairs shut up t co yyfcnfqzpc,1
8838,dooms gutta dadon white nubuck or leather for the upper of the foam makes them a pass to me white soles too t co qivkeptlkj,2
22358,us spy planes are flying over british skies in hunt for jihadi john s assoc s with advanced tech t co xfsezszu m via beforeitsnews,2
13377,no bitch you slut itsbeebitch vianawf chill,1
7623,all the time lol koolassk lol ima hoe sometimes,1
1465, plmpcess in the fashion world urban means stolen from black people its ghetto on us and urban on them haha t co s xwgflj c ,2
21246,sweet innocent teen clothes ripped and pussy fingered hard t co sigrlukdaa,1
19528, lildurk i hate a bitch that think they crazy ,1
329, g rillaz e sitting on my window sill window open bird tries to fly in smacked it protecttheanimals peta,2
10585,i just love that tweaking hoe tweaking hoe song that s the only part i no wee be getting money so we ball out some sme sme,1
12632,long hair pussy any time you want it,1
10492,i hate when bitches get lame ,1
6406, kieffer jason hunterbuch sbsylvester but yo scary ass don t want to see me tho stfu talking am u know where i be at pussy boy,1
9552,got your bitch over here combing my hair for me t co k j nmrmzw,1
9160,for some reason i always assume guys who act like that in trucks have tiny dicks haha fag,1
12729,man bitches love beyonce no punch line,1
15290, funnypicsdepot bitches be like i m a virgin t co mfdwxmg ic,1
4375, proseish yeah because george zimmerman is a pussy ass coward ,1
4191, mr lewis brookebrooklyn ohh yaa he wants brooke to be his pinkie toe so he can bang it on the coffee table what a twat lol,1
4113, mike stud so is my pussy,1
18406, bettyboo you better pray i don t send your nudes out bitch,0
15926, kingtunchi lowkey i put sum of these hoes on the map so call me kingtunchi bitch ,1
10526,i have a feeling tonight will be trash ,2
4576, rottenstench dat was charlie,2
21231,sure i got a nice car a inch tv stainless steel appliances in my apartment and a few thousand twitter followers but i ain t got no hoes,1
17151, sammi boyden savanigga oh i know dude i just went off on his ass i m done with that faggot,1
7378, yungdipio iemonaids like i really want a rafter monkey,2
5442, westwest yall phampel woohoo new black kill cracker babies panthers to the rescue racist trash thugs ferguson fergusonriot,0
1627, beautifulkeezy this bitch lying to me messy yess,1
23148,yee boy my yung nicca told me dat waxx,2
16279, louievree weed louder than a darkskin bitch in the club,1
23774,done everything but trust these hoes,1
1653, sickwitit wish tonight was purge so i can get to hunting shut yo hoe ass up,1
20574,s o to flowing wells varsity soccer tomorrow yall are playing ironwood kick their asses i m pretty sure this fag is playing samjalexander,1
10390,i got this root beer chillin in the fridge imma crack that bitch open in a few,1
21808,these hoes pickin and choosin that s why these niggas stickin and movin,1
23738,damn lol globalgrindnews janay rice speaks on the domestic violence costume that mocks her marriage t co n ucidnuuu,2
22047,this guy is retarded ,1
7333, xnikiaaa boa i m trying see if that bitch was going or not me amp vick stay agru about he don t get hoes ,1
20222, trapwithronnie these thots keep saying all niggas want is pussy well bitch wtf else does your broke non cooking ass have to off ,1
19257, inmysexdreams i love black shoes cause i can match them with anything but i also need some colored shoes,2
6540, laceeybugg atleast i wipe my ass trashy bitch,1
2848, chrispowellswag cblaze dswizzle dawson and nicky hickman delete the fake account and and stop being bitches,1
12717,man i can t stop looking at this hoe twerking on my facebook,1
10607,i just want to beat the fuck out of everyone that stares at me like bitch stahp,1
17142, rudecomedian some bitches be like im far from ugly naw hoe you re closer than you think,1
17832, trapicalgod if she has you know my name not my story in her bio you know she a hoe,1
13758,pappadeaux bread with the scampi butter chickengeorge her pussy tastes like t co qfqyc g px,1
22966,women use niggas all the time for monetary purposes and gain if a bitch wanna buy me some sneakers i ain t turning shit down ,1
90, ccobey aydanmccoy happy birthday nigs thanks yo,1
18768, chvmpagne fat bitch i m thick t co lqxvllvzhj,1
18770, cigarsnscotch what s black and yellow and not going to win this year wrong the answer is tiger woods ,0
7521,ain t like them guys who wine and dine to keep they women my bitches only want two things that s to get high and kick it,1
171, lebronvuitton a loyal bitch from the burbs without daddy issues is like finding a holographic mewtwo sounding like me over there lol,1
13498,nuggas be to obsessed with the homies like the cant bag bitches,1
22839,whops jamaicajones yardie go smoke a blunt and tell a nigga to come through you are stressed,1
6723, morgan mccubbin fake bitches nicetry,1
821,yeswedid start building windturbines so fuckin big they can kill a whole flock of birds in one go gt ,1
14051, prince if we re together and you don t like that bitch i don t like that bitch either t co f rerrgsm,1
17205, sashanexx i found a mega carrot at the store today retweets and i ll shove it up my pussy pics t co lymlquclwj,1
5019, tomcatstraight come over queer,1
17482, sunny goodz seeeeee man niggas a lose they bitch over a bitch that s not even worth it,1
1594, unbearabletier i ate oomf pussy her ,1
11251,i m crazy poke out your eyes slit yo clit you give a shit cuz i m the shit,1
18250, beautifulkeezy hoe bang this big and she got nerves to think she better then us bitches have no chill ,1
9038,fwm on twitter emmanuel got strippers escorts artists hustlaz hittaz bitches niggas i m dat dude ,1
23856,glad to know you were just a hoe looking for all the attention gladyouregone,1
22666,when i was in hs we had a dance team and then we had the steppers them hoes was ghetto as shit but they kept the pep rally hyped,1
2549, barackobama biden was a winner last night yea right like charlie sheen really was a a winner too winning lol,2
20081, surviving queen her pussy stay wet when shes around me gotta lick it till she wetter then never before,1
17224, scruffdaddy here she go being a hoe again dog t co vnz v vfsm,1
17841, trentskii baby sqquad fucking niggas bitches man i m use to it ,1
22862,why do i play these scary pc games cuz im not a pussy and i like being scared shitless,1
5277, aly baby well at least if you re going to do somthing you do it and don t bitch out even when it s the wrong thing ,1
22253,traffic in the gables lt lt lt lt lt lt lt lt ,2
143, hoskinsty white boy power bitch black power bitch,1
10519,i hate when those little white kids try and act black like bitch you are white,1
13260,next time u gone call a darky a nicca call dat coon a jungle bunnyboondocks p s i t co ug wuie ,0
15269, fucking garza i wanna sleep but i m outside with this nigger lol trying to hang him,0
14871, djzeeti i couldnt host and park i d fuck too many young bitches,1
9693,hats off to all hoodrat chicks from the ghetto who have anxiety attacks at formal events,1
15080, dvpedreams if her pussy got over body counts it s dead pussies only have lives ,1
21391,that dumb black bitch that was getting the cards for the picture made me so fucking mad she ruined my day ,0
10563,i hopes dis don t come as a severe shock to use but i m colored,2
21727,these bitches irritating,1
16609, naturalbadassss phat pussy is the best pussy ,1
15934, kmoquality scholen waar directie leerkrachten pest kunt u zich voorstellen hoe groot pestproblematiek onder leerlingen wel moet zijn ,2
3912, lexvan go back to nigeria faggot,0
2810, ceelos ho fvtboy jaimescudi angelsoswavey would i be a bitch if i said yea but never told you where i stay at ,1
1555, thatdamntwerk beef is when a bitch titties looking like they sleep laidback what s beef t co p lr nko o,1
22549,weird ass bitches,1
11205,i m a broke hoes dream rich hoes cream ,1
8577,cute dumb females trash ,2
4501, realpimpinken pimpinkendotnet sell a bitch pussy til it s drip drop wet the vet not the pet hey bitch ,1
8044,bitch don t talk yo shit then say you on papers when a bitch trinna get down you a straight fag bitch foe dat scary ass hoe ,1
6444, kieffer jason bitch what i did show up then i tweeteddm texted then called u and i asked u were tryna meet up bitch ur fucking weak ,1
19656, mediacrooks only an extreme lowlife bitches abt her juniors in public sagarikaghose rajdeep reveals his ugly character in ny ,1
21829,these niggas ain t shit but hoes with tricks,1
470, i don t love these hoes baby it s me and you forever ,1
6639, marshabitch don t start lil bitch,1
21409,that nigga waledayday so trash,1
23687,bout to get some twitter bitches my twitter fame raising dawg getwitme,1
5210, yaremisxo way other hoes boo,1
15981, kennedyleighxxx you can t be ugly and a shitty fucking person pick a struggle bitch ,1
5878, don had da bitches rockin in da club wit my boy connor,1
7841,at pussy cat lounge killin it with my girlz blaqdior and hpmiss,2
4910, thebovee mr astonishing we outchea bitch,1
24477,stupid loose pussyed bitch,0
22572,welp imma hoe again gladvillian she a hoe if she likes chocolate ,1
8307,can i double stuff your oreo ,2
4425, police tactgear article is flawed took my first chp with brpd was well done even had ghetto gals with a jammy hi purnt but well done,1
11887,it be so good to not gotta woyke in da moanin i da only colored dat woyke cuz colored folk be lazy and lives off da white guilt,2
4064, mcwilliamsbrett ayyy tell that bitch in your avi she needs fix a flat for dat flat ass ,1
22799,white kids black kids yellow kids hell even purple kids if you carry yourselves like daniel geale you will go far gealemundine ,2
10314,i fuck with lux and his knowledge but mooks presence delivery is connecting more to the people crazy ,1
3008, definemeee lol tell dat white bitch i said hey,1
24094,is it ghetto to grease yo scalp at work,2
259, theo t co byj hoyhmg this scally lad would get it,2
22422,video on the record charlie baker t co lxk yycvr ,2
11303,i m just living my nig ,1
10356,i got bitches geekin sneaking cocaina cross the customs ,1
14336, beardedbearsman beardownjedi the afl now has an american draft system bearbrother couple of yanks are on the playing lists at so ,2
273, vineforthebyrd on my way to fuck your bitch s t co lmtfnl iy lmfao kittycopter,1
2604, billythathird matt sliwinski copy my tweet again you ginzo,2
22293,turnup on all of you hoes,1
8575,cute ass niggah t co h sqoptyfx,0
6967, santos brina what a ratchet ass bitch bet she felt dumb ,1
2505, autyaut i miss you eating as we speak i miss you red bone and that cooking ,2
6738, mulroyms fuck dyslexia is an bitch,1
17333, skraw berry oh i would ve stood up fall back hoe,1
23827,for the insecure girl ya name i won t mention on instagram straight flciking bitch you nipple slip away from stripping ,1
18276, drettab i hate you sidelines hoes y all got so much courage ,1
21315,temples playing with my life i might be i working bitch this semester cuz i m not paying outta pocket,1
15791, jenebramel clever lancemcalister watch burfict make the hit and then mock officials by throwing a flag on himself s t co ,2
11109,i woke up in a bed full of bitches that i ain t eeeen fuckin,1
7534,ain t nuttin but a white trash party ,0
11117,i wonder if that bitch dead yet,1
1123, b davis smdh eagles fans you a bitch mikemiss hey giants fans victor cruz is over dance to that hey watch it,1
8982,every nigga tryna fuck the next nigga bitch but not knowing his bitch is the next nigga bitch,1
18800, cpsqueak each time i do it for ya i make that bad pussy behave,1
14800, crittamo i m getting tired of these same ol no hope broke bitches no job all they wanna do is twerk and smoke swishers,1
10160,i could say my name butttttttt ya bitch already knows it ,1
9911,how could you do this to meeeeeee bitch,1
20781,shiiiit pontiac holmes drops you a couple extra dollars on that hoe get her a brazilian gotsta spend money to make money ,1
19225, iamyaokhari tyga that ain t my hoe this is the same man that wants to be godly ,1
17025, ramen odicho assyria got hella hoes,1
13471,now i am seeing chatter among jihadi fans taking credit for an alledged kidnapping of a frenchman in algeria france,2
8801,don t hit me up talking bout who that bitch under yo pic get yo ass treated,1
23162,yes daryl and michone are my niccas jajuan cofield vonshayeb got it recorded been waiting months for this season premiere ,1
16356, magssca uce ina magssca you aint gon take a pic tho not scared to i m in a japanese steakhouse tho bitch was walking quick,1
21553,the fourth hokage was a little bitch like nigga can t even take down a bitch ass fox ,1
10756,i miss britt god damn bitch real nigga over here baby ,1
21050,some of you girls should be wifey for halloween since some of y all been hoes all year ,1
6419, kieffer jason i said your name bitch so yes you fuck boy,1
3960, lov tadaisha a box full of yellow crayons ,2
4953, therealjb rd gotta get my superbowl shirt at the cleaners then we hitting the big bird ,2
9644,handicap sticker bitch i park where i want ,1
17550, taecocky she a hoe if her bday in september,1
13823,photo good morning ig giving u white trash body turntup webad wepretty gayvegas t co de o ttths,1
6568, lexxaye dp double penetration aka a dick in the ass and a dick in the pussy at the same damn time ,1
7214, tucsonchld lol you can only get in at eden when you re all the bitches there are fat ,1
14470, brendaaaa i m in love with mary jane and codine i don t love these hoes,1
1394, milf chronicles dudes shaving without it being for an athletic purpose is gay af you re retarded ,0
15297, funnyquotees halloween use to be a holiday for kids it is now national dress like your inner hoe day ,1
23359,you know what im into nigga money amp expensive bitches,1
5541, ashhruggiero happy birthday queer,0
12536,lmaooooo im outta here da eye creep bobby shmurda looks like a negro league player t co sngynagulc,1
5846, derek gatewood you got a toolbox you hoe,1
7748,and my mom was really getting me a car smh hoe f u for dat,1
16679, nohoesnextdoor if you claim macklemore is your favorite rapper i m also assuming you watch the wnba on your free time faggot,0
11128,i would leave my crib and go somewhere but i m pretty sure i ll die cause if my bitch ass car sliding everywhere,1
8354,can t stand a sob ass bitch,1
6692, mimi sanabria i really did right off my bed where you put all these dam yellow starburst throws them out the window ,2
2615, bittytang yes why protest about sexism then go right home and beg for a guy to beat your pussy up im lost at times,1
6826, peteyhoti aubreykelson ell naw dogs run this bitch,1
3435, hunturpls steezeyflow nice ears bitch you look like a god damn elephant ,1
6684, mightyfar they need to stop picking up ufcs trash though and build up there own fighters more ,2
18052, whenarappersaid when tyler the creator said rape a pregnant bitch and tell my friends i had a threesome t co zkvwfk d ,1
4162, morgansmith ohhhhhh i smell a challenge usa vs usa next time i see ya bitch ass,1
8367,can t trust these hoes and when i say hoes i mean dudes to,1
6167, imjoshdean that s hoser eh to you t co qulrtowmlb,2
1507, smithaaaaaa tats nsnapbacks last night was well fun lmao you got some pussy didn t ya vern unfortunately no lol,1
5079, vakill shut up faggot you and ras need to make an album together we ll ras fell off you didn t cont t co nrmc m,1
1825, kitty hello im yung jay bitch ass nigga fuck you lt these hoes ain t got no manners realtalk,0
11961,it s not pears bitch it s pear ,1
21839,these nigs is haters man and i ve made myself so easy to luv,1
10340,i got problems but a pussy ass bitch ain t one ,1
19379, joshuaxallen tbt halloween a spoopy hoe and her pimp daddy t co oqvp eghx,1
8370,can t wait till my bitches get here ,1
23430,you think she classy niggah but she really ratchet,1
11325,i m nice to everyone but don t let this pretty smile confuse you because i can turn to bitch in nanoseconds ,1
6429, kieffer jason and you got that pussy in your bllod,1
5617, billyrunaway hope she s larger than a bird ,2
20044, sorryimalex now sos is starting to tweet the hashtag they re trash vote sos t co llkuz vtai,2
6337, karazopfi then send them bitches through express mail overnight delivery,1
11805,in reality lame niggas and corny niggas get bitches bc it s sooo many of dem niggas nbs lol,1
9035,fuck you iheart youkeish we have y all faggots next sbaby life ,1
9298,fuck what you think i think them bitches produced the fuck outta some shit telling you i still rock out to the vast majority of no skits,1
21632,the weeknd is why bitches love dark skin fellas now ,1
1132, beardedgemini ginasanabria i have no hoes because yah nigga ain t shit ,1
20378, xo fck love hellobrooklynn not sparing no hoes t co q fskcy l ,1
20679,sendin the link to wishy washy to my old hoes,1
9416,gettin bitches was never hard i just settled down cause that start got corny an my girl thurl ,1
5764, corrinybug yasss bitch yasss i wonder if penny passed ,1
19314, jaimescudi niggaaaaaa why these bitches trip so hard over a nigga when will they realize they re gonna grow up amp regret the fool ,1
7867,aye it s a lot of niggas out here that can t fuck a bad bitch unless they get her drunk smh preach,1
2694, brodywaynelyles these kids are pussies we got a white trash kid amp a thugnasty wanna be up in here ,1
19347, jenny barajas fazeybaby quote this tweet with the funniest pic in ya camera roll this bitch started it all t co xqcxuo ,1
8056,bitch you may have a million dollar body but you got a dollar menu face and a four piece nugget pussy so you ain t worth shit ,1
22951,without serge the bird chirps the sun burns the grass grows the world turns the moon glows the river flows but i die without serge ,2
23373,you little stupid ass bitch i aint fuckin with you ,1
388, savage twotone next year bitches is gonna be like you gotta promise you won t expose me ,1
18114, xnastyy no i ain t no bitch amp no i ain t no snitch ,1
19286, itscoleharmon i wish you would stop being a hoe ,1
7194, treagle early bird gets the worm tomcat,2
23711,change the pussy into a fire hydrant ,1
19196, isellgreencards st mssashabelle show proof i sold pussy for i ll wait ,1
10392,i got yo bitch dick whipped,1
8040,bitch and who the fuck r u am speak when the fuck i feel like it and stop a pussy ass nigga and box the fuck up,1
4552, rniswirvinn lilkev j no ur wrong stupid nigger,0
1208, dj d rac fuck driving stick it s gay as fuck shit pussies say,1
9736,he never replied to my asking about his calling me a redneck gigg psherm echoeserrant jstines ,2
10899,i stalk my bf s insta and follow any girl that flirts with him scare the bitches,1
12109,jus waking up and hearing about this lebron sheet what a dummy no respect for him go get ya rings and come back real admirable bitch,1
8260,but staying up gon be a bitch ,1
11473,idk bro jactionj a bunch of hoes really doesn t compare to having that one faithful girl bruh ,1
7604,all of my bitches know they temporary,1
3294, gossipcop screw the little porch monkey ,1
3350, haseenabakhtali steen madraq altyd zo geweest hoe vaak men ook zegt dit nooit meer lozewoorden puntjebijpaaltje vertonen z dierngedrag,2
10802,i never thought you could irritate me like please stop being a fucking bitch surprised your boyfriend puts up with you stupidspecs,1
12634,long yellow ,2
1476, quis turntup sqquad iont got no type bad bitches is the only thing that i like aye i m just living life,1
16330, mcgetbizzy rise of the planet of the apes t co ww xbbujg ,2
5295, calistrong lol it s possible that a hoe can treat you the right way but will she love you the right way no a hoe will be a hoe ,1
17973, venus lynn dylxnl look ghetto but it work t co chrvw dpca ,2
19740, nerdreign this isn t some privilege to be thrown around all willy nilly you ve gotta earn the right to call me a bitch ,1
18035, waynel jr lmaooooooo take my advicee what dum bitch made this t co siuxrh sms,1
15202, flexfoee bookieg if he fuck yo bitch u should be happy like damn boosie fucked my bitch lmao,1
5991, gcan jeremywgr and then everyone bitches anyways the guy can t win with the fans we have we would run revis out of here in his prime,1
10737,i love when the pussy smacking an it sound like u mixing spaghetti ,1
11091,i wish a bitch could,1
2113, up runnin these k fades with ma niggah tyreon leo ko d lmfaoo,1
23791,eli manning looks like a idiot when he s talking to the guys on the sideline with his hands up like retarded af,1
15598, idgaf imyella to be honest niggas are the biggest roaches these days they be with bitches just to have someone to put shit in their ,1
13383,no hoe shit tho i was bout to say perro got butt naked bitches doing dishes,1
23717,choke that bitch,1
23720,cleaned all the bird nests out of the downspouts and ready for more rain the baby birds are out now respect the birds and bees ,2
3906, leonbaptist idk you into mouthy spics on welfare with kids and baby daddy s ,0
7274, wednesdaydreams i wanted to see that but i like trash sometimes lol,1
11451,isis jihadis discuss buying and selling yezidi girls as slaves t co uopgipopws tcot pjnet,2
14725, clintswiftness i hate bees man they be like buzz buzz bitch and i m like nah man i ain t done shit to you ,1
10606,i just want the bad hoes and i wanna reach the children,1
15654, inkmyholebody this nigga is a fuckin faggot s t co e m tujnhf,0
3525, itskeeshkapeesh yourself faggot buy a dictionary,0
11716,im a twat,2
13118,my niggas bigger then the bouncer roll up in the bitch still smell like an ounce,1
71, autoworid hennessey venom gt t co i egmnkaj that s one sexy bitch,1
22654,when drake got your ex bitch amp the one you tryna move on w it s time to call amp give it a up,1
10936,i swear new bitches here me rap and its a wrap ,1
4748, staydelusional i texted u fag,1
6033, goldielocks bitch pussy,1
10609,i just want vanilla oreos,2
2477, ari tweetz lol na bitches like crazy if the d good ,1
2024, cause these hoes ain t loyal these niggas ain t either when it go down you callin for hitters that you t co wmruwtwuje,1
22859,why can t you be humble like your moms and not hoes,1
14404, bittytang weed cloudz us calling females hoes for dressing as bunnies and cats for halloween didn t discourage them one bit lol g ,1
3237, gabrielaangela stephyrae gabby why are you so ghetto ,1
1409, marlin fishyass sqquad in the mall with yo bitch and yo money i m getting me somethin ,1
18444, forevernee i hate a copy cat ass bitch monkey see monkey do ass bitch ,1
9316,fuck hostess to liquidate if bakers strike continues through thursday end of twinkies t co gtwmjmgt,1
10056,i be using these fufu bitches ,1
15886, justawana gvmby this bitch possessed by the thot demon s t co vhsbg bjrg fucking dead ,1
3609, jaredreve use monkey maker you prick ,1
22343,u niggas dnt like me i bet i can fck yo bitch tho ,1
24253,never had i had a problem with a girl in my years of being in school but this otter looking twat better quit giving me looks,1
10382,i got some yard work i need done you got me midcityace control your excitement sir wdnick lets gooooo teena bitch ,1
10812,i ont like that game wit that retarded ass bird ,1
22761,when you told ya homie she was a hoe but he still wifed it lurk god caption this t co rgbqesssha ,1
17031, randall jayy d i got hard dick for all dez bitches i get all they numbers i don t call dez bitches lmao ,1
22853,why bitches act like i can t read or like words don t have a meaning ,1
5842, denytheprophecy when you realize you re trash,1
2258, we know ya bitch kendricklamar,1
3359, heilsidious breezbyya lol that caitlyn can t carry retards ,1
8141,bought that bitch mozzarella sticks bitches love mozzarella sticks,1
10655,i like a cool bad bitch she know she sexy but her attitude is like ehh whatever ,1
10117,i can t even be away from my phone that long karlie right she is a crazy bitch ,1
21664,then zerah the cushite came against them with an army of one million men and chariots they came as far as mare t co lpbeb j r,2
15799, jessicachasmar media matters executive behind stoprush campaign blogged about trannies homos t co mje kvl rf t co ,1
18274, dalvina can iget i can t stand no messy hoe true story,1
10612,i just wish some females would look in the mirror b they hop on social networks amp talk down on hoes ,1
15794, jenna garcia officialvondell mygirlfriendnotallowedto have milkshakes let that hoe bring one boy to the yard and watch what ,1
1115, attractive bad yes iam single i don t mess or talk to anyone no hoes just me ,1
1180, chrissy cindy if a bitch tweet i lose interest fast slide in her dms cause she a thot good looks,1
23594,b c she likes black men and rap music huh lol magssca waymothegod in general she wants to be colored,2
14013, yungsimmie i flex it ain t no turning down take yo bitch fly out of town macin stackin ready to get it crackin aint no tu ,1
19780, ochocinco if your girl didn t camp out overnight to buy you the iphone your pee pee is trash ,2
20623,say it again marcus supreme alotta you bitches standards are niggas that s outta yall league,1
15392, gurujeremy that s how niggas get cheated on she lie in ur face bc she in denial about her hoe actions but she tell her homegirls it ,1
1326, jabbcaesar amp these bitches bound to get hurt cause a lotta these niggas be playin hell yeah,1
9612,had to change my shit up on u hoes,1
